,ba-m,simple-spread-chance,citizen-citizen-influence,citizen-media-influence,organizing-capacity,flint-organizing-strategy,threshold
244,3,0.01,0.75,0.01,5,high-degree-cit-and-media,0
245,3,0.01,0.75,0.01,5,high-degree-citizens,0
246,3,0.01,0.75,0.01,5,high-degree-media,0
247,3,0.01,0.75,0.01,5,neighbors-of-neighbors,0
248,3,0.01,0.75,0.05,1,high-degree-cit-and-media,0
249,3,0.01,0.75,0.05,1,high-degree-citizens,0
250,3,0.01,0.75,0.05,1,high-degree-media,0
251,3,0.01,0.75,0.05,1,neighbors-of-neighbors,0
252,3,0.01,0.75,0.05,5,high-degree-cit-and-media,0
253,3,0.01,0.75,0.05,5,high-degree-citizens,0
254,3,0.01,0.75,0.05,5,high-degree-media,0
255,3,0.01,0.75,0.05,5,neighbors-of-neighbors,0
256,3,0.01,0.75,0.1,1,high-degree-cit-and-media,0
257,3,0.01,0.75,0.1,1,high-degree-citizens,0
258,3,0.01,0.75,0.1,1,high-degree-media,0
259,3,0.01,0.75,0.1,1,neighbors-of-neighbors,0
260,3,0.01,0.75,0.1,5,high-degree-cit-and-media,0
261,3,0.01,0.75,0.1,5,high-degree-citizens,0
262,3,0.01,0.75,0.1,5,high-degree-media,0
263,3,0.01,0.75,0.1,5,neighbors-of-neighbors,0
264,3,0.01,0.75,0.25,1,high-degree-cit-and-media,0
265,3,0.01,0.75,0.25,1,high-degree-citizens,0
266,3,0.01,0.75,0.25,1,high-degree-media,0
267,3,0.01,0.75,0.25,1,neighbors-of-neighbors,0
268,3,0.01,0.75,0.25,5,high-degree-cit-and-media,0
269,3,0.01,0.75,0.25,5,high-degree-citizens,0
270,3,0.01,0.75,0.25,5,high-degree-media,0
271,3,0.01,0.75,0.25,5,neighbors-of-neighbors,0
272,3,0.01,0.75,0.5,1,high-degree-cit-and-media,0
273,3,0.01,0.75,0.5,1,high-degree-citizens,0
274,3,0.01,0.75,0.5,1,high-degree-media,0
275,3,0.01,0.75,0.5,1,neighbors-of-neighbors,0
276,3,0.01,0.75,0.5,5,high-degree-cit-and-media,0
277,3,0.01,0.75,0.5,5,high-degree-citizens,0
278,3,0.01,0.75,0.5,5,high-degree-media,0
279,3,0.01,0.75,0.5,5,neighbors-of-neighbors,0
280,3,0.01,0.75,0.75,1,high-degree-cit-and-media,0
281,3,0.01,0.75,0.75,1,high-degree-citizens,0
282,3,0.01,0.75,0.75,1,high-degree-media,0
283,3,0.01,0.75,0.75,1,neighbors-of-neighbors,0
284,3,0.01,0.75,0.75,5,high-degree-cit-and-media,0
285,3,0.01,0.75,0.75,5,high-degree-citizens,0
286,3,0.01,0.75,0.75,5,high-degree-media,0
287,3,0.01,0.75,0.75,5,neighbors-of-neighbors,0
288,3,0.05,0.01,0.01,1,high-degree-cit-and-media,0
289,3,0.05,0.01,0.01,1,high-degree-citizens,0
290,3,0.05,0.01,0.01,1,high-degree-media,0
291,3,0.05,0.01,0.01,1,neighbors-of-neighbors,0
292,3,0.05,0.01,0.01,5,high-degree-cit-and-media,0
293,3,0.05,0.01,0.01,5,high-degree-citizens,0
294,3,0.05,0.01,0.01,5,high-degree-media,0
295,3,0.05,0.01,0.01,5,neighbors-of-neighbors,0
296,3,0.05,0.01,0.05,1,high-degree-cit-and-media,0
297,3,0.05,0.01,0.05,1,high-degree-citizens,0
298,3,0.05,0.01,0.05,1,high-degree-media,0
299,3,0.05,0.01,0.05,1,neighbors-of-neighbors,0
300,3,0.05,0.01,0.05,5,high-degree-cit-and-media,0
301,3,0.05,0.01,0.05,5,high-degree-citizens,0
302,3,0.05,0.01,0.05,5,high-degree-media,0
303,3,0.05,0.01,0.05,5,neighbors-of-neighbors,0
304,3,0.05,0.01,0.1,1,high-degree-cit-and-media,0
305,3,0.05,0.01,0.1,1,high-degree-citizens,0
306,3,0.05,0.01,0.1,1,high-degree-media,0
307,3,0.05,0.01,0.1,1,neighbors-of-neighbors,0
308,3,0.05,0.01,0.1,5,high-degree-cit-and-media,0
309,3,0.05,0.01,0.1,5,high-degree-citizens,0
310,3,0.05,0.01,0.1,5,high-degree-media,0
311,3,0.05,0.01,0.1,5,neighbors-of-neighbors,0
312,3,0.05,0.01,0.25,1,high-degree-cit-and-media,0
313,3,0.05,0.01,0.25,1,high-degree-citizens,0
314,3,0.05,0.01,0.25,1,high-degree-media,0
315,3,0.05,0.01,0.25,1,neighbors-of-neighbors,0
316,3,0.05,0.01,0.25,5,high-degree-cit-and-media,0
317,3,0.05,0.01,0.25,5,high-degree-citizens,0
318,3,0.05,0.01,0.25,5,high-degree-media,2
319,3,0.05,0.01,0.25,5,neighbors-of-neighbors,0
320,3,0.05,0.01,0.5,1,high-degree-cit-and-media,0
321,3,0.05,0.01,0.5,1,high-degree-citizens,0
322,3,0.05,0.01,0.5,1,high-degree-media,1
323,3,0.05,0.01,0.5,1,neighbors-of-neighbors,0
324,3,0.05,0.01,0.5,5,high-degree-cit-and-media,10
